x_site,y_site,n,slope,intercept,r2
23.1,11.1_32.1_18.2,10,0.8779351301352772,-0.18988536535672845,0.9424258283554319
24.1_1.2,11.1_32.1_18.2,10,0.977897876795564,0.513290472718283,0.9908766468771149
2.1,12.1_5.2,61,0.9123451981055009,1.5566389016906046,0.9218230053602444
3.1,12.1_5.2,183,1.1606097829029387,0.30855318546393184,0.913636646228087
5.1_19.3_24.2,12.1_5.2,45,1.128893786679527,-0.4758708487940034,0.9301622529119562
7.1_4.1,12.1_5.2,36,1.2765825126930814,-1.4799136104095814,0.8962278165007742
7.2,12.1_5.2,20,0.7923161345615567,0.8396940445264568,0.845376848029576
8.1_34.2,12.1_5.2,11,1.0077273900080528,0.38874199391682235,0.942963995694563
9.1_17.2,12.1_5.2,113,0.9673549105710505,0.6508240106500347,0.904298036932515
9.2,12.1_5.2,21,1.3389138112436259,-0.1136083573917837,0.9801116642953205
12.1_5.2,12.1_5.2,186,1.0000000000000002,-2.4792525411888743e-15,1
13.1_33.2,12.1_5.2,66,0.6201208065093912,3.923900318584402,0.31528563067132265
14.1,12.1_5.2,76,0.9833594834603614,0.07474388674529973,0.959838692061309
15.1,12.1_5.2,21,2.949663937622719,-3.0898679105271674,0.871067526211806
18.1_26.1,12.1_5.2,135,0.8148571921159805,1.3374209478826722,0.9503018415159384
20.1,12.1_5.2,57,1.101955974616482,0.2858149075916106,0.8955709341438205
20.2,12.1_5.2,10,1.0466754458994931,0.7072845539457117,0.8168798901548789
21.1,12.1_5.2,146,1.0538500145919618,-0.34677451983834695,0.9306397080818847
22.1,12.1_5.2,79,0.8869204470180004,1.223762773539076,0.9280570470270701
23.1,12.1_5.2,153,0.9622839940127358,0.15004150791978807,0.8081134741074079
24.1_1.2,12.1_5.2,154,1.1026213032129037,0.2533851556568459,0.9626641962059246
25.1,12.1_5.2,25,1.0929652587028256,0.6527199629383481,0.9580344871823651
27.1,12.1_5.2,34,1.1833740621469753,-0.7275003736036483,0.9720632669871911
28.1,12.1_5.2,143,0.6978826938228783,4.045795762104076,0.6386435364873666
29.1,12.1_5.2,78,1.0665450510767267,-1.157294505931336,0.9241909045918265
30.1_17.1,12.1_5.2,29,0.7282334805463527,3.8364809087557505,0.82030135638457
31.2,12.1_5.2,21,0.8019874205270517,0.7035815975838969,0.9118487452623878
32.2,12.1_5.2,20,0.8802765673844477,-0.13232321171205877,0.9368286322458572
34.1_16.1,12.1_5.2,53,0.8000371251705105,1.7613259890381514,0.937682341194763
35.2,12.1_5.2,21,1.1380372305794815,0.13304066570352055,0.9306967817023492
2.1,13.1_33.2,57,0.9068050007446637,3.6943909596592963,0.565519128101798
3.1,13.1_33.2,137,0.7544332752166706,4.332873377936336,0.24966585958453377
5.1_19.3_24.2,13.1_33.2,34,0.13255299842846735,11.50997041155016,0.006843446117702343
7.1_4.1,13.1_33.2,34,1.0131587800157043,1.0914429960085859,0.5469949328535427
7.2,13.1_33.2,32,1.042655013467009,7.390150595987476,0.29363436739916626
8.1_34.2,13.1_33.2,15,1.0801809688620152,2.289679417848608,0.5416591997768602
9.1_17.2,13.1_33.2,84,1.0255712757929158,2.195596410829533,0.36077755175559795
9.2,13.1_33.2,22,1.3769930726104254,5.668561467762178,0.3532895032942696
12.1_5.2,13.1_33.2,66,0.5084261443282956,3.6392557966618,0.3152856306713226
13.1_33.2,13.1_33.2,140,0.9999999999999997,3.7683766985036055e-15,1
14.1,13.1_33.2,51,0.911862913155764,3.628334504616928,0.1586095490374677
15.1,13.1_33.2,36,4.287766512300215,0.640775457248609,0.3078559614429045
18.1_26.1,13.1_33.2,121,0.574163454961889,4.891576654420716,0.2054084374424561
20.1,13.1_33.2,50,0.9165469199711306,1.6287386660839747,0.8930565888823487
20.2,13.1_33.2,12,1.0386464504118702,14.184596303637472,0.1546216112949653
21.1,13.1_33.2,116,0.9903731245667496,1.576239459697254,0.2972913159031586
