x_site,y_site,n,slope,intercept,r2,site1,site2,distance_km
15.1,9.1_17.2,119,3.292465565869476,-2.1946091628073936,0.8225636197981757,15.1,9.1_17.2,9.863255679492596
18.1_26.1,9.1_17.2,266,0.8381314572403069,0.5976214710693362,0.8973767561244615,18.1_26.1,9.1_17.2,6.337633885602389
20.1,9.1_17.2,77,0.8768116353458653,-0.055335856860659505,0.7266207367285078,20.1,9.1_17.2,14.356920806502124
20.2,9.1_17.2,53,1.2926227218961155,0.4609113096409474,0.9376790647396316,20.2,9.1_17.2,3.2060414141607243
21.1,9.1_17.2,264,1.020616726264387,0.1047774830472621,0.8744226517619225,21.1,9.1_17.2,4.547059246842094
22.1,9.1_17.2,216,0.8831196715443854,1.664455059370178,0.8874766455676499,22.1,9.1_17.2,6.496611510492322
23.1,9.1_17.2,250,0.8767871250183659,0.8920649578361304,0.7874729280895083,23.1,9.1_17.2,10.659924153279414
24.1_1.2,9.1_17.2,205,1.0571110949185043,0.5702704639811257,0.8705414303009581,24.1_1.2,9.1_17.2,11.561673940756327
25.1,9.1_17.2,38,1.2436963751480894,0.01308303190890985,0.9122707482664383,25.1,9.1_17.2,4.908535974462716
27.1,9.1_17.2,53,1.1084072434641057,-1.2710574804833406,0.9502066070874303,27.1,9.1_17.2,1.7257016809467731
28.1,9.1_17.2,169,0.40110859592790854,7.244753755598358,0.1775637342978228,28.1,9.1_17.2,3.6248959583113143
29.1,9.1_17.2,223,0.992659350031837,0.644401583569717,0.9307853902279809,29.1,9.1_17.2,12.938137837328469
30.1_17.1,9.1_17.2,43,0.7291187280584409,0.15130955328163692,0.8766343935762466,30.1_17.1,9.1_17.2,4.589506859471424
31.2,9.1_17.2,76,1.0681900956178179,-0.17376485251127188,0.9311464281514606,31.2,9.1_17.2,2.7798013280108536
32.2,9.1_17.2,60,1.0828835866277797,-0.21772510730093989,0.9113056857176783,32.2,9.1_17.2,5.099734050294363
34.1_16.1,9.1_17.2,113,0.8578162797684199,2.0371848766166023,0.9023249097951754,34.1_16.1,9.1_17.2,4.627766625145446
35.2,9.1_17.2,68,1.3103210116038302,0.3889538730076558,0.908526791883749,35.2,9.1_17.2,8.022998675846946
12.1_5.2,9.2,21,0.7320199822160035,0.2178927991139262,0.9801116642953204,12.1_5.2,9.2,4.114511767154571
13.1_33.2,9.2,22,0.256565926380823,3.217708518348036,0.3532895032942695,13.1_33.2,9.2,4.454358525381738
