site_x,site_y,n_overlap,slope,intercept,r2
18.1_26.1,7.1_4.1,370,0.5834611015519674,3.7701692134007474,0.4403505985787489
31.2,13.1_33.2,38,1.5942919921975716,1.8210224812490319,0.4555272359487166
24.1_1.2,11.1_32.1_18.2,205,0.7584995307114792,2.8081381455940586,0.455901058694169
18.1_26.1,15.1,370,0.4296087046049571,2.1234463756380855,0.4623523174244114
13.1_33.2,7.1_4.1,214,0.6625063903612782,3.81305431134336,0.46271871928890246
34.1_16.1,20.2,89,0.3885082914267042,2.4948922571810948,0.4649924554326607
33.1,1.1,30,0.1431579082960503,0.9854968128780465,0.4753675382957568
18.1_26.1,1.1,132,0.6626553822232123,1.2827813435471227,0.47714022882020357
33.1,11.1_32.1_18.2,55,0.6796005380793047,2.526706850411984,0.477538698602601
13.1_33.2,7.2,38,0.36450178410749007,4.604682160912735,0.492567629831181
22.1,20.2,88,0.4427277824765186,2.242373872148619,0.5044816247231666
25.1,18.1_26.1,343,1.0338479070516713,2.01368886731258,0.5095274089901478
22.1,7.1_4.1,228,0.6815931215564859,3.145515348534106,0.5129209052573281
34.1_16.1,7.1_4.1,200,0.6588193368410048,3.3304060807691322,0.51333822844872
8.1_34.2,7.2,49,0.909524819477328,1.6681442888249873,0.5172682726354255
25.1,20.1,128,0.5106196500305519,3.859770512299168,0.5182794943915269
27.1,19.2,24,1.3503880369931531,-1.1271733152056755,0.5221877081582419
30.1_17.1,13.1_33.2,111,0.6637389184313516,4.305977185585812,0.5233583825601866
23.1,18.1_26.1,376,0.8843370373804358,2.2267704295783113,0.5298931722991845
27.1,1.1,118,0.8080395217005416,1.6316680071468552,0.5320738888068005
28.1,2.1,264,0.6343030179963359,3.892912154109644,0.5337812596081384
20.2,18.1_26.1,89,1.3257351639004042,1.4244103271898356,0.5338730933864849
25.1,20.2,89,0.7159592485715314,0.7946066096860437,0.5360550434981739
15.1,9.1_17.2,313,0.9109763867814054,4.568869700285549,0.5364639777822834
27.1,18.1_26.1,169,0.9553463087011753,2.596753165241247,0.5368515240949712
12.1_5.2,7.2,35,0.9053702914712419,2.1841554818950426,0.5371484269893786
25.1,19.1,141,0.7651098570986911,2.563208131511389,0.5407395939495233
20.2,7.1_4.1,89,1.16453405356062,2.0304601205929185,0.5418511884698869
33.1,7.1_4.1,83,0.6903129922311028,3.979018065375517,0.5429634255028672
28.1,8.1_34.2,240,0.6389548088348229,4.048151046428989,0.5489283353008724
15.1,1.1,154,0.9068986051296319,0.04519955316744701,0.5558056548809697
18.1_26.1,12.1_5.2,289,0.6118768111901973,3.2283090501721974,0.5589259526744434
7.1_4.1,3.1,412,0.5362097676653997,2.645381554440215,0.564144784273787
14.1,7.1_4.1,224,0.7820302695587309,2.59588247832172,0.5666876709969659
18.1_26.1,3.1,380,0.4732016207250757,2.7930442394918855,0.568709178085523
19.2,15.1,58,0.5122623452117685,2.0763350757114676,0.5720530407155594
19.2,13.1_33.2,12,0.07902542946435018,2.2813546457292775,0.573003152111305
