Sensor ID,Site ID,Lat,Long,Date,Time,PM2.5,removal_reason
27.1,27.1,41.50541,-81.66791,2025-08-25,07:30:00,1.63,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,08:00:00,2.754,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,08:30:00,11.116,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,09:00:00,10.976,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,09:30:00,63.904,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,10:00:00,88.334,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,11:00:00,80.734,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,12:00:00,81.539,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,12:30:00,187.393,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,13:00:00,2.452,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,13:30:00,54.569,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,14:30:00,19.44,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,15:00:00,48.224,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,15:30:00,169.525,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,16:30:00,2.161,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,17:00:00,2.282,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,17:30:00,36.565,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,18:00:00,0,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,18:30:00,2.932,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,19:00:00,0.566,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,19:30:00,1.48,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,20:00:00,0.519,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,20:30:00,2.015,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,21:00:00,1.798,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,21:30:00,9.327,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,22:00:00,0.512,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,22:30:00,0.482,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,23:00:00,1.04,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-25,23:30:00,1.431,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,00:00:00,43.986,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,00:30:00,7.778,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,01:00:00,14.404,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,01:30:00,153.455,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,02:00:00,0.562,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,02:30:00,6.619,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,03:00:00,129.798,Trim 27.1 from 2025-07-01 onward
