location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T18:34:05Z,mc_pm2_5,1.041
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T19:04:05Z,mc_pm2_5,3.675
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T19:34:05Z,mc_pm2_5,3.004
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T20:04:05Z,mc_pm2_5,3.995
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T20:34:05Z,mc_pm2_5,3.016
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T21:04:05Z,mc_pm2_5,1.819
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T21:34:05Z,mc_pm2_5,2.785
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T22:04:05Z,mc_pm2_5,3.109
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T22:34:05Z,mc_pm2_5,4.168
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T23:04:05Z,mc_pm2_5,4.595
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T23:34:05Z,mc_pm2_5,2.721
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T00:04:05Z,mc_pm2_5,5.147
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T00:34:05Z,mc_pm2_5,1.658
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T01:04:05Z,mc_pm2_5,4.807
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T01:34:05Z,mc_pm2_5,7.474
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T02:04:05Z,mc_pm2_5,8.49
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T02:34:05Z,mc_pm2_5,4.825
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T03:04:05Z,mc_pm2_5,7.968
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T03:34:05Z,mc_pm2_5,6.236
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T04:04:05Z,mc_pm2_5,6.534
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T04:34:05Z,mc_pm2_5,5.874
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T05:04:05Z,mc_pm2_5,9.321
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T05:34:05Z,mc_pm2_5,4.398
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T06:04:05Z,mc_pm2_5,9.074
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T06:34:05Z,mc_pm2_5,7.565
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T07:04:04Z,mc_pm2_5,9.604
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T07:34:04Z,mc_pm2_5,7.921
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T08:04:04Z,mc_pm2_5,7.283
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T08:34:04Z,mc_pm2_5,7.094
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T09:04:04Z,mc_pm2_5,4.326
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T09:34:04Z,mc_pm2_5,4.77
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T10:04:04Z,mc_pm2_5,4.076
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T10:34:04Z,mc_pm2_5,3.606
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T11:04:04Z,mc_pm2_5,3.274
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T11:34:04Z,mc_pm2_5,3.072
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T12:04:04Z,mc_pm2_5,4.59
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T12:34:04Z,mc_pm2_5,6.65
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T13:04:04Z,mc_pm2_5,4.821
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T13:34:04Z,mc_pm2_5,3.335
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T14:04:04Z,mc_pm2_5,3.41
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T14:34:04Z,mc_pm2_5,4.887
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T15:04:04Z,mc_pm2_5,4.079
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T15:34:04Z,mc_pm2_5,4.501
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T16:04:04Z,mc_pm2_5,3.062
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T16:34:04Z,mc_pm2_5,4.829
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T17:04:04Z,mc_pm2_5,4.932
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T17:34:04Z,mc_pm2_5,4.529
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T18:04:04Z,mc_pm2_5,6.526
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T18:34:04Z,mc_pm2_5,2.997
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T19:04:04Z,mc_pm2_5,6.095
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T19:34:04Z,mc_pm2_5,5.733
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T20:04:04Z,mc_pm2_5,3.905
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T20:34:04Z,mc_pm2_5,4.691
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T21:04:04Z,mc_pm2_5,4.913
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T21:34:04Z,mc_pm2_5,7.226
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T22:04:03Z,mc_pm2_5,4.276
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T22:34:03Z,mc_pm2_5,3.751
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T23:04:03Z,mc_pm2_5,1.898
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-12T23:34:03Z,mc_pm2_5,3.85
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T00:04:03Z,mc_pm2_5,1.989
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T00:34:03Z,mc_pm2_5,1.684
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T01:04:03Z,mc_pm2_5,1.934
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T01:34:03Z,mc_pm2_5,3.326
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T02:04:03Z,mc_pm2_5,6.418
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T02:34:03Z,mc_pm2_5,11.675
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T03:04:03Z,mc_pm2_5,8.847
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T03:34:03Z,mc_pm2_5,10.755
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T04:04:03Z,mc_pm2_5,11.581
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T04:34:03Z,mc_pm2_5,9.872
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T05:04:03Z,mc_pm2_5,8.166
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T05:34:03Z,mc_pm2_5,6.881
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T06:04:03Z,mc_pm2_5,5.842
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T06:34:03Z,mc_pm2_5,7.463
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T07:04:03Z,mc_pm2_5,8.068
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T07:34:03Z,mc_pm2_5,4.852
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T08:04:03Z,mc_pm2_5,6.125
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T08:34:03Z,mc_pm2_5,4.941
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T09:04:03Z,mc_pm2_5,4.745
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T09:34:03Z,mc_pm2_5,7.038
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T10:04:03Z,mc_pm2_5,16.196
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T10:34:03Z,mc_pm2_5,18.075
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T11:04:03Z,mc_pm2_5,26.76
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T11:34:03Z,mc_pm2_5,30.634
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T12:04:03Z,mc_pm2_5,21.354
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T12:34:02Z,mc_pm2_5,8.896
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T13:04:02Z,mc_pm2_5,10.953
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T13:34:02Z,mc_pm2_5,4.637
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T14:04:02Z,mc_pm2_5,2.64
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T14:34:02Z,mc_pm2_5,3.132
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-13T15:04:02Z,mc_pm2_5,2.344
