sensor_id,site_id,latitude,longitude,datetime_utc,pm25,removal_reason
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-26T07:30:00Z,1021.283,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-26T09:30:00Z,670.86,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-08T12:30:00Z,1958.172,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-08T13:00:00Z,6547.996,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-08T23:30:00Z,311.367,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-09T22:00:00Z,453.66,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-10T00:30:00Z,721.34,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-10T03:30:00Z,1006.466,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-10T23:00:00Z,1192.204,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-11T19:00:00Z,295.607,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-13T12:00:00Z,1401.666,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-13T15:00:00Z,430.098,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-13T20:00:00Z,277.227,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-14T11:00:00Z,897.107,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-14T19:00:00Z,613.933,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-14T21:00:00Z,773.878,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-15T03:30:00Z,1785.914,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-15T06:30:00Z,1020.444,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-15T11:30:00Z,541.13,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-16T10:00:00Z,742.956,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-12-16T22:00:00Z,1231.128,PM2.5 > 250
