site_number,date,fem_pm25_daily,n_hourly_obs,first_hour,last_hour,valid_daily
0034,2025-04-28,3.8333333333333335,24,2025-04-28T01:00:00Z,2025-04-29T00:00:00Z,TRUE
0034,2025-04-29,7.929166666666666,24,2025-04-29T01:00:00Z,2025-04-30T00:00:00Z,TRUE
0034,2025-04-30,1.9583333333333333,24,2025-04-30T01:00:00Z,2025-05-01T00:00:00Z,TRUE
0034,2025-05-01,5.104166666666666,24,2025-05-01T01:00:00Z,2025-05-02T00:00:00Z,TRUE
0034,2025-05-02,4.9125,24,2025-05-02T01:00:00Z,2025-05-03T00:00:00Z,TRUE
0034,2025-05-03,3.7958333333333334,24,2025-05-03T01:00:00Z,2025-05-04T00:00:00Z,TRUE
0034,2025-05-04,2.8000000000000003,24,2025-05-04T01:00:00Z,2025-05-05T00:00:00Z,TRUE
0034,2025-05-05,4.866666666666667,24,2025-05-05T01:00:00Z,2025-05-06T00:00:00Z,TRUE
0034,2025-05-06,2.979166666666667,24,2025-05-06T01:00:00Z,2025-05-07T00:00:00Z,TRUE
0034,2025-05-07,5.55,24,2025-05-07T01:00:00Z,2025-05-08T00:00:00Z,TRUE
0034,2025-05-08,4.7875,24,2025-05-08T01:00:00Z,2025-05-09T00:00:00Z,TRUE
0034,2025-05-09,4.391666666666667,24,2025-05-09T01:00:00Z,2025-05-10T00:00:00Z,TRUE
0034,2025-05-10,4.904166666666667,24,2025-05-10T01:00:00Z,2025-05-11T00:00:00Z,TRUE
0034,2025-05-11,4.458333333333333,24,2025-05-11T01:00:00Z,2025-05-12T00:00:00Z,TRUE
0034,2025-05-12,6.6125,24,2025-05-12T01:00:00Z,2025-05-13T00:00:00Z,TRUE
0034,2025-05-13,2.779166666666667,24,2025-05-13T01:00:00Z,2025-05-14T00:00:00Z,TRUE
0034,2025-05-14,2.475,24,2025-05-14T01:00:00Z,2025-05-15T00:00:00Z,TRUE
0034,2025-05-15,5.366666666666667,24,2025-05-15T01:00:00Z,2025-05-16T00:00:00Z,TRUE
0034,2025-05-16,7.704166666666667,24,2025-05-16T01:00:00Z,2025-05-17T00:00:00Z,TRUE
0034,2025-05-17,4.5125,24,2025-05-17T01:00:00Z,2025-05-18T00:00:00Z,TRUE
0034,2025-05-18,4.416666666666667,24,2025-05-18T01:00:00Z,2025-05-19T00:00:00Z,TRUE
