site1,site2,lat1,lon1,lat2,lon2,distance_km
20.2,9.1_17.2,41.50459,-81.6439,41.49211735298013,-81.67856,3.2060414141607243
21.1,9.1_17.2,41.486323,-81.624582,41.49211735298013,-81.67856,4.547059246842094
22.1,9.1_17.2,41.44404,-81.72271,41.49211735298013,-81.67856,6.496611510492322
23.1,9.1_17.2,41.449672,-81.564,41.49211735298013,-81.67856,10.659924153279414
24.1_1.2,9.1_17.2,41.564906,-81.579597,41.49211735298013,-81.67856,11.561673940756327
25.1,9.1_17.2,41.46717,-81.63003,41.49211735298013,-81.67856,4.908535974462716
27.1,9.1_17.2,41.50541,-81.66791,41.49211735298013,-81.67856,1.7257016809467731
28.1,9.1_17.2,41.46308,-81.69823,41.49211735298013,-81.67856,3.6248959583113143
29.1,9.1_17.2,41.43498,-81.81362,41.49211735298013,-81.67856,12.938137837328469
30.1_17.1,9.1_17.2,41.47473,-81.72846,41.49211735298013,-81.67856,4.589506859471424
31.2,9.1_17.2,41.47218,-81.69863,41.49211735298013,-81.67856,2.7798013280108536
32.2,9.1_17.2,41.47214,-81.62353,41.49211735298013,-81.67856,5.099734050294363
33.1,9.1_17.2,41.4668,-81.70792,41.49211735298013,-81.67856,3.733447494376959
34.1_16.1,9.1_17.2,41.469970000000004,-81.72552,41.49211735298013,-81.67856,4.627766625145446
35.1,9.1_17.2,41.463988,-81.645973,41.49211735298013,-81.67856,4.146300245897563
35.2,9.1_17.2,41.54031,-81.60699,41.49211735298013,-81.67856,8.022998675846946
1.1,9.2,41.456319,-81.639257,41.50604,-81.66306,5.880133681316869
2.1,9.2,41.57947,-81.56615,41.50604,-81.66306,11.489687088915334
3.1,9.2,41.575635,-81.541699,41.50604,-81.66306,12.738550040833173
5.1_19.3_24.2,9.2,41.46274,-81.65997,41.50604,-81.66306,4.827017015683856
7.1_4.1,9.2,41.476985,-81.682376,41.50604,-81.66306,3.6132341576184466
7.2,9.2,41.44539,-81.53876,41.50604,-81.66306,12.371814739465055
8.1_34.2,9.2,41.446336,-81.650709,41.50604,-81.66306,6.7255764437027885
9.1_17.2,9.2,41.49211735298013,-81.67856,41.50604,-81.66306,2.0179509181024535
9.2,9.2,41.50604,-81.66306,41.50604,-81.66306,0
11.1_32.1_18.2,9.2,41.56206,-81.564009,41.50604,-81.66306,10.34483186140293
12.1_5.2,9.2,41.49409,-81.70976,41.50604,-81.66306,4.114511767154571
13.1_33.2,9.2,41.489571,-81.71175,41.50604,-81.66306,4.454358525381738
14.1,9.2,41.49537,-81.63033,41.50604,-81.66306,2.9760817682280143
15.1,9.2,41.552492,-81.591944,41.50604,-81.66306,7.865289126396493
18.1_26.1,9.2,41.47918,-81.75257,41.50604,-81.66306,8.040254482080604
19.1,9.2,41.462862,-81.647249,41.50604,-81.66306,4.984122785741792
19.2,9.2,41.46491,-81.59068,41.50604,-81.66306,7.575988717408747
20.1,9.2,41.569957,-81.541194,41.50604,-81.66306,12.399124115255358
20.2,9.2,41.50459,-81.6439,41.50604,-81.66306,1.6054376299196336
21.1,9.2,41.486323,-81.624582,41.50604,-81.66306,3.8871922180469984
22.1,9.2,41.44404,-81.72271,41.50604,-81.66306,8.508051859935575
23.1,9.2,41.449672,-81.564,41.50604,-81.66306,10.374534639592392
24.1_1.2,9.2,41.564906,-81.579597,41.50604,-81.66306,9.555619312945021
25.1,9.2,41.46717,-81.63003,41.50604,-81.66306,5.129279105225064
27.1,9.2,41.50541,-81.66791,41.50604,-81.66306,0.41036225170623286
28.1,9.2,41.46308,-81.69823,41.50604,-81.66306,5.610025915496071
29.1,9.2,41.43498,-81.81362,41.50604,-81.66306,14.842081056668011
30.1_17.1,9.2,41.47473,-81.72846,41.50604,-81.66306,6.47209214784835
31.2,9.2,41.47218,-81.69863,41.50604,-81.66306,4.796367538658089
32.2,9.2,41.47214,-81.62353,41.50604,-81.66306,5.010655195710874
33.1,9.2,41.4668,-81.70792,41.50604,-81.66306,5.751121683842003
34.1_16.1,9.2,41.469970000000004,-81.72552,41.50604,-81.66306,6.576525708795844
35.1,9.2,41.463988,-81.645973,41.50604,-81.66306,4.893273685394631
35.2,9.2,41.54031,-81.60699,41.50604,-81.66306,6.032512041359892
1.1,11.1_32.1_18.2,41.456319,-81.639257,41.56206,-81.564009,13.338106682073809
2.1,11.1_32.1_18.2,41.57947,-81.56615,41.56206,-81.564009,1.9462573905319516
3.1,11.1_32.1_18.2,41.575635,-81.541699,41.56206,-81.564009,2.395010680704145
5.1_19.3_24.2,11.1_32.1_18.2,41.46274,-81.65997,41.56206,-81.564009,13.646450169531592
7.1_4.1,11.1_32.1_18.2,41.476985,-81.682376,41.56206,-81.564009,13.675600410436964
7.2,11.1_32.1_18.2,41.44539,-81.53876,41.56206,-81.564009,13.157120850605116
