site_id,date_daily,cinc_pm25_daily,n_halfhour_obs,first_time,last_time,valid_daily
1.1,2025-07-26,1.7594444444444444,18,2025-07-26T00:30:00Z,2025-07-26T21:30:00Z,FALSE
1.1,2025-07-27,1.2512222222222222,9,2025-07-27T01:30:00Z,2025-07-27T23:00:00Z,FALSE
1.1,2025-07-28,2.442277777777778,18,2025-07-28T01:30:00Z,2025-07-28T22:30:00Z,FALSE
1.1,2025-07-29,1.5738636363636362,22,2025-07-29T01:00:00Z,2025-07-30T00:00:00Z,FALSE
1.1,2025-07-30,2.1575384615384614,13,2025-07-30T01:00:00Z,2025-07-30T23:30:00Z,FALSE
1.1,2025-07-31,3.6225,4,2025-07-31T00:30:00Z,2025-07-31T02:30:00Z,FALSE
1.1,2025-08-06,8.752,1,2025-08-06T18:30:00Z,2025-08-06T18:30:00Z,FALSE
2.1,2024-11-20,3.4322500000000002,8,2024-11-20T19:00:00Z,2024-11-21T00:00:00Z,FALSE
2.1,2024-11-21,5.167756756756757,37,2024-11-21T00:30:00Z,2024-11-22T00:00:00Z,TRUE
2.1,2024-11-22,10.966714285714286,42,2024-11-22T00:30:00Z,2024-11-22T23:30:00Z,TRUE
2.1,2024-11-23,1.9109354838709678,31,2024-11-23T00:30:00Z,2024-11-24T00:00:00Z,FALSE
2.1,2024-11-24,13.956194444444446,36,2024-11-24T00:30:00Z,2024-11-25T00:00:00Z,TRUE
2.1,2024-11-25,12.30027027027027,37,2024-11-25T00:30:00Z,2024-11-26T00:00:00Z,TRUE
2.1,2024-11-26,12.461470588235295,34,2024-11-26T00:30:00Z,2024-11-26T22:30:00Z,FALSE
2.1,2024-11-27,5.623717948717949,39,2024-11-27T00:30:00Z,2024-11-28T00:00:00Z,TRUE
2.1,2024-11-28,12.906583333333334,36,2024-11-28T00:30:00Z,2024-11-29T00:00:00Z,TRUE
2.1,2024-11-29,8.042135135135135,37,2024-11-29T00:30:00Z,2024-11-30T00:00:00Z,TRUE
2.1,2024-11-30,7.839511627906977,43,2024-11-30T00:30:00Z,2024-11-30T23:30:00Z,TRUE
2.1,2024-12-01,6.622069767441861,43,2024-12-01T00:30:00Z,2024-12-02T00:00:00Z,TRUE
2.1,2024-12-02,10.833702702702704,37,2024-12-02T00:30:00Z,2024-12-03T00:00:00Z,TRUE
2.1,2024-12-03,12.004249999999999,32,2024-12-03T00:30:00Z,2024-12-04T00:00:00Z,FALSE
2.1,2024-12-04,13.21271052631579,38,2024-12-04T01:00:00Z,2024-12-04T23:30:00Z,TRUE
2.1,2024-12-05,5.372351351351352,37,2024-12-05T00:30:00Z,2024-12-06T00:00:00Z,TRUE
2.1,2024-12-06,2.4271707317073172,41,2024-12-06T00:30:00Z,2024-12-07T00:00:00Z,TRUE
2.1,2024-12-07,4.787742857142857,35,2024-12-07T00:30:00Z,2024-12-07T23:30:00Z,FALSE
2.1,2024-12-08,6.286324324324324,37,2024-12-08T00:30:00Z,2024-12-09T00:00:00Z,TRUE
2.1,2024-12-09,8.014885714285715,35,2024-12-09T00:30:00Z,2024-12-09T23:30:00Z,FALSE
2.1,2024-12-10,41.13122580645162,31,2024-12-10T01:00:00Z,2024-12-11T00:00:00Z,FALSE
2.1,2024-12-11,31.214351351351354,37,2024-12-11T00:30:00Z,2024-12-11T23:30:00Z,TRUE
2.1,2024-12-12,5.643810810810812,37,2024-12-12T01:00:00Z,2024-12-13T00:00:00Z,TRUE
2.1,2024-12-13,4.699189189189189,37,2024-12-13T00:30:00Z,2024-12-14T00:00:00Z,TRUE
2.1,2024-12-14,7.619617647058823,34,2024-12-14T00:30:00Z,2024-12-14T23:00:00Z,FALSE
2.1,2024-12-15,11.318868421052631,38,2024-12-15T00:30:00Z,2024-12-16T00:00:00Z,TRUE
2.1,2024-12-16,12.49617142857143,35,2024-12-16T00:30:00Z,2024-12-17T00:00:00Z,FALSE
2.1,2024-12-17,11.660625,32,2024-12-17T00:30:00Z,2024-12-18T00:00:00Z,FALSE
2.1,2024-12-18,50.104,36,2024-12-18T00:30:00Z,2024-12-19T00:00:00Z,TRUE
2.1,2024-12-19,6.6985789473684205,38,2024-12-19T00:30:00Z,2024-12-19T23:30:00Z,TRUE
2.1,2024-12-20,15.798558823529412,34,2024-12-20T00:30:00Z,2024-12-21T00:00:00Z,FALSE
2.1,2024-12-21,1.8615897435897437,39,2024-12-21T02:00:00Z,2024-12-22T00:00:00Z,TRUE
2.1,2024-12-22,2.1203333333333334,42,2024-12-22T00:30:00Z,2024-12-23T00:00:00Z,TRUE
