device_eui,location_name,device_number,device_status,latitude,longitude,datetime_utc,pm25,temperature_c,humidity,sensor_id,site_id
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T20:00:00Z,15.869,-30.3,41,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T20:30:00Z,13.225,-28.3,42,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T21:00:00Z,18.797,-26.9,36,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T21:30:00Z,10.144,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T23:00:00Z,6.887,-26.8,34,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T23:30:00Z,15.755,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T00:30:00Z,16.881,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T01:00:00Z,16.772,29.6,54,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T02:30:00Z,13.476,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T03:00:00Z,21.446,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T04:00:00Z,16.795,26.7,64,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T04:30:00Z,10.533,26.5,64,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T05:00:00Z,14.282,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T06:00:00Z,15.007,25.4,68,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-12T06:30:00Z,20.66,25.2,69,4.1,7.1_4.1
